,Date,Perc_Dif
0,2015-01-02,-0.7099867997170924
1,2015-01-05,-1.7573639826424994
2,2015-01-06,-1.5074637388174608
3,2015-01-07,-0.26115336302921877
4,2015-01-08,1.4105069287984437
5,2015-01-09,-0.7108574894155254
6,2015-01-12,-0.7439602953973561
7,2015-01-13,-0.46538927914629663
8,2015-01-14,0.18375236348833593
9,2015-01-15,-1.0370944088180338
10,2015-01-16,1.6621991491120132
11,2015-01-20,-0.5162551415384565
12,2015-01-21,0.7833639024617205
13,2015-01-22,1.284248578138442
14,2015-01-23,0.034618567512832654
15,2015-01-26,0.7062812517152195
16,2015-01-27,-0.2360833352406321
17,2015-01-28,-1.9742804301710284
18,2015-01-29,-0.019555873812947804
19,2015-01-30,-0.03489048325671754
20,2015-02-02,0.40215468377967356
21,2015-02-03,1.3622136853446132
22,2015-02-04,0.08576892756991499
23,2015-02-05,0.46808441040080523
24,2015-02-06,0.07978245620679762
25,2015-02-09,0.5628331824073021
26,2015-02-10,0.45835181711255457
27,2015-02-11,0.07727120754942225
28,2015-02-12,0.6860032741964744
29,2015-02-13,0.9761996133385578
30,2015-02-17,0.2678128701891877
31,2015-02-18,-0.06516998069684074
32,2015-02-19,0.005020105346856851
33,2015-02-20,0.4410695880771871
34,2015-02-23,-0.10430180095856942
35,2015-02-24,0.51322546720694
36,2015-02-25,0.7172929096030217
37,2015-02-26,0.2445539504402146
38,2015-02-27,-0.20078685112700465
39,2015-03-02,1.2737560489442072
40,2015-03-03,0.0011676164157144342
41,2015-03-04,-0.14953264084335233
42,2015-03-05,-0.4152111753217416
43,2015-03-06,-0.8058425390696234
44,2015-03-09,-0.08227337227998403
45,2015-03-10,-1.2313241321201658
46,2015-03-11,-0.19694374662961717
47,2015-03-12,1.1853672838333096
48,2015-03-13,-0.39067412276468527
49,2015-03-16,0.518894953717941
50,2015-03-17,0.004918168186159366
51,2015-03-18,1.2278541009000563
52,2015-03-19,0.05538971095340708
53,2015-03-20,0.16154371473586943
54,2015-03-23,-0.0919097107595187
55,2015-03-24,0.06370231406884899
56,2015-03-25,-2.1215270187933877
57,2015-03-26,-0.03903977866540742
58,2015-03-27,0.3476804218374632
59,2015-03-30,0.21988906521213308
60,2015-03-31,-0.47754196109204716
61,2015-04-01,-0.3805849499566992
62,2015-04-02,0.8421215926594598
63,2015-04-06,1.0037492210346672
64,2015-04-07,-0.1406527909336483
65,2015-04-08,0.6288967216719662
66,2015-04-09,-0.2553539561056094
67,2015-04-10,0.09125624994487799
68,2015-04-13,-0.2418704812117458
69,2015-04-14,0.0783369762949362
70,2015-04-15,-0.014805539057578709
71,2015-04-16,0.38194483779032057
72,2015-04-17,-0.470972766605242
73,2015-04-20,0.5073290001174933
74,2015-04-21,-0.1344964541168276
75,2015-04-22,0.40741101837453436
76,2015-04-23,0.3491618104947619
77,2015-04-24,-0.3571370032331934
78,2015-04-27,-0.983023098639484
79,2015-04-28,0.06795338952416506
80,2015-04-29,0.2838861766093502
81,2015-04-30,-0.9126242530964517
82,2015-05-01,0.7200122125878912
83,2015-05-04,0.12137461866465324
84,2015-05-05,-1.1945460334675864
85,2015-05-06,-1.0095037352219087
86,2015-05-07,0.043669955702476115
87,2015-05-08,-0.24602177845934334
88,2015-05-11,0.01263696356859123
89,2015-05-12,0.12647800793964256
90,2015-05-13,-0.36361711974695227
91,2015-05-14,0.41483098782709593
92,2015-05-15,0.3886175148354077
93,2015-05-18,0.7554915579684607
94,2015-05-19,0.14376769054762503
95,2015-05-20,-0.10726956235198273
96,2015-05-21,0.5290185899852515
97,2015-05-22,-0.15347735024286108
98,2015-05-26,0.007831992349989835
99,2015-05-27,1.0568920965891464
100,2015-05-28,-0.29379760830771345
101,2015-05-29,-0.21496435286842713
102,2015-06-01,0.028808329994352178
103,2015-06-02,0.3007078247567669
104,2015-06-03,0.19245415125923146
105,2015-06-04,-0.3958210103719092
106,2015-06-05,0.2676409624956365
107,2015-06-08,-0.9359686688898016
108,2015-06-09,-0.29946025644036306
109,2015-06-10,0.5583637458819821
110,2015-06-11,-0.11603473314820516
111,2015-06-12,-0.20231073117155257
112,2015-06-15,0.08798075601981832
113,2015-06-16,0.3533795254677348
114,2015-06-17,0.12119189410987877
115,2015-06-18,0.8765692692333665
116,2015-06-19,-0.026057086386610778
117,2015-06-22,0.31315808345089413
118,2015-06-23,0.1765312033892287
119,2015-06-24,-0.839262749024213
120,2015-06-25,-0.4559094622167413
121,2015-06-26,-0.1684667976283574
122,2015-06-29,-1.4957416975561952
123,2015-06-30,-0.5573553873171736
124,2015-07-01,-0.08351488198505326
125,2015-07-02,-0.3323164248075117
126,2015-07-06,0.20132427826028856
127,2015-07-07,0.40357647800240226
128,2015-07-08,-0.8001905526827298
129,2015-07-09,-0.5726931052177584
130,2015-07-10,0.41302705868146095
131,2015-07-13,0.8256864275868543
132,2015-07-14,0.30877743911548955
133,2015-07-15,-0.3051796295635903
134,2015-07-16,0.807883496085289
135,2015-07-17,0.38397072082538203
136,2015-07-20,0.11675456455753197
137,2015-07-21,-0.4953848459620199
138,2015-07-22,0.570892092566522
139,2015-07-23,-1.0424167003955764
140,2015-07-24,-0.919587400204985
141,2015-07-27,-0.7709234098785162
142,2015-07-28,0.21372738645433143
143,2015-07-29,0.2678453568371733
144,2015-07-30,0.890508926397637
145,2015-07-31,-0.06208527827805077
146,2015-08-03,-0.2847690961032168
147,2015-08-04,0.6156596438809602
148,2015-08-05,-1.0811644310651043
149,2015-08-06,-1.055606740450333
150,2015-08-07,-0.33264675441790437
